,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.8751023751023751,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.8734643734643734,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.8763308763308764,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.8759213759213759,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.8746928746928747,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.8759213759213759,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.8751023751023751,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.8722358722358723,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.8742833742833743,0.25,0.95,False,
9,Vanilla,CatBoost,0.8648648648648649,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.8652743652743653,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.8656838656838657,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.8650696150696151,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.8636363636363636,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.8654791154791155,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.8650696150696151,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.8656838656838657,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.8636363636363636,0.5,0.95,False,
18,Vanilla,WeightedEnsemble_L2,0.8761943761943762,0.75,,,
19,Pseudo-Label,LightGBM,0.8731913731913732,0.75,0.5,True,
20,Pseudo-Label,WeightedEnsemble_L2,0.8745563745563746,0.75,0.75,True,
21,Pseudo-Label,WeightedEnsemble_L2,0.8738738738738738,0.75,0.9,True,
22,Pseudo-Label,WeightedEnsemble_L2,0.8760578760578761,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.8737373737373737,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.8753753753753754,0.75,0.75,False,
25,Pseudo-Label,WeightedEnsemble_L2,0.8768768768768769,0.75,0.9,False,
26,Pseudo-Label,WeightedEnsemble_L2,0.874965874965875,0.75,0.95,False,
27,Vanilla,WeightedEnsemble_L2,0.8330818965517242,0.95,,,
28,Pseudo-Label,WeightedEnsemble_L2,0.8623922413793104,0.95,0.5,True,
29,Pseudo-Label,WeightedEnsemble_L2,0.8584051724137931,0.95,0.75,True,
30,Pseudo-Label,WeightedEnsemble_L2,0.8606681034482758,0.95,0.9,True,
31,Pseudo-Label,WeightedEnsemble_L2,0.8595905172413794,0.95,0.95,True,
32,Pseudo-Label,WeightedEnsemble_L2,0.8610991379310344,0.95,0.5,False,
33,Pseudo-Label,WeightedEnsemble_L2,0.8622844827586207,0.95,0.75,False,
34,Pseudo-Label,XGBoost,0.8601293103448275,0.95,0.9,False,
35,Pseudo-Label,XGBoost,0.858728448275862,0.95,0.95,False,
