,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,NeuralNetFastAI,0.7837837837837838,0.25,,,
1,Pseudo-Label,NeuralNetFastAI,0.8378378378378378,0.25,0.5,True,
2,Pseudo-Label,NeuralNetFastAI,0.8108108108108109,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.7837837837837838,0.25,0.9,True,
4,Pseudo-Label,NeuralNetFastAI,0.7837837837837838,0.25,0.95,True,
5,Pseudo-Label,NeuralNetFastAI,0.8378378378378378,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.7837837837837838,0.25,0.75,False,
7,Pseudo-Label,NeuralNetFastAI,0.7837837837837838,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.7297297297297297,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.7866666666666666,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.8,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.8133333333333334,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.8133333333333334,0.5,0.9,True,
13,Pseudo-Label,NeuralNetMXNet,0.8,0.5,0.95,True,
14,Pseudo-Label,NeuralNetFastAI,0.8133333333333334,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.8,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.8,0.5,0.9,False,
17,Pseudo-Label,NeuralNetMXNet,0.8133333333333334,0.5,0.95,False,
18,Vanilla,CatBoost,0.7946428571428571,0.75,,,
19,Pseudo-Label,WeightedEnsemble_L2,0.8303571428571429,0.75,0.5,True,
20,Pseudo-Label,LightGBMXT,0.8125,0.75,0.75,True,
21,Pseudo-Label,LightGBMXT,0.8125,0.75,0.9,True,
22,Pseudo-Label,CatBoost,0.8125,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.8303571428571429,0.75,0.5,False,
24,Pseudo-Label,LightGBMXT,0.8125,0.75,0.75,False,
25,Pseudo-Label,LightGBMXT,0.8125,0.75,0.9,False,
26,Pseudo-Label,LightGBMXT,0.8125,0.75,0.95,False,
27,Vanilla,LightGBMXT,0.795774647887324,0.95,,,
28,Pseudo-Label,CatBoost,0.8028169014084507,0.95,0.5,True,
29,Pseudo-Label,RandomForestGini,0.7394366197183099,0.95,0.75,True,
30,Pseudo-Label,NeuralNetFastAI,0.7394366197183099,0.95,0.9,True,
31,Pseudo-Label,LightGBMXT,0.5633802816901409,0.95,0.95,True,
32,Pseudo-Label,CatBoost,0.8028169014084507,0.95,0.5,False,
33,Pseudo-Label,RandomForestGini,0.7394366197183099,0.95,0.75,False,
34,Pseudo-Label,NeuralNetFastAI,0.7887323943661971,0.95,0.9,False,
35,Pseudo-Label,LightGBMXT,0.676056338028169,0.95,0.95,False,
