,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.9996551724137931,0.25,,,
1,Pseudo-Label,ExtraTreesGini,0.9996551724137931,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.9996551724137931,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.9996551724137931,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.9996551724137931,0.25,0.95,True,
5,Pseudo-Label,RandomForestGini,0.9996551724137931,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.9996551724137931,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.9996551724137931,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.9996551724137931,0.25,0.95,False,
9,Vanilla,CatBoost,0.9996551724137931,0.5,,,
10,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.5,True,
11,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.75,True,
12,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.9,True,
13,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.95,True,
14,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.5,False,
15,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.75,False,
16,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.9,False,
17,Pseudo-Label,RandomForestGini,0.9996551724137931,0.5,0.95,False,
18,Vanilla,CatBoost,0.9994252873563219,0.75,,,
19,Pseudo-Label,RandomForestEntr,0.9995402298850574,0.75,0.5,True,
20,Pseudo-Label,RandomForestEntr,0.9995402298850574,0.75,0.75,True,
21,Pseudo-Label,LightGBMXT,0.9991954022988506,0.75,0.9,True,
22,Pseudo-Label,LightGBMXT,0.9991954022988506,0.75,0.95,True,
23,Pseudo-Label,RandomForestEntr,0.9995402298850574,0.75,0.5,False,
24,Pseudo-Label,RandomForestEntr,0.9995402298850574,0.75,0.75,False,
25,Pseudo-Label,LightGBMXT,0.9991954022988506,0.75,0.9,False,
26,Pseudo-Label,LightGBMXT,0.9991954022988506,0.75,0.95,False,
27,Vanilla,LightGBM,0.996551724137931,0.95,,,
28,Pseudo-Label,LightGBM,0.9937386569872958,0.95,0.5,True,
29,Pseudo-Label,NeuralNetFastAI,0.9961887477313974,0.95,0.75,True,
30,Pseudo-Label,NeuralNetFastAI,0.9961887477313974,0.95,0.9,True,
31,Pseudo-Label,NeuralNetFastAI,0.9961887477313974,0.95,0.95,True,
32,Pseudo-Label,LightGBM,0.9937386569872958,0.95,0.5,False,
33,Pseudo-Label,NeuralNetFastAI,0.9961887477313974,0.95,0.75,False,
34,Pseudo-Label,LightGBM,0.9937386569872958,0.95,0.9,False,
35,Pseudo-Label,NeuralNetFastAI,0.9961887477313974,0.95,0.95,False,
