,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,NeuralNetFastAI,0.8021390374331551,0.25,,,
1,Pseudo-Label,LightGBM,0.7700534759358288,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.7754010695187166,0.25,0.75,True,
3,Pseudo-Label,NeuralNetFastAI,0.8128342245989305,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.7967914438502673,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.7967914438502673,0.25,0.5,False,
6,Pseudo-Label,NeuralNetFastAI,0.786096256684492,0.25,0.75,False,
7,Pseudo-Label,CatBoost,0.7754010695187166,0.25,0.9,False,
8,Pseudo-Label,NeuralNetFastAI,0.7647058823529411,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.786096256684492,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.7780748663101604,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.7834224598930482,0.5,0.75,True,
12,Pseudo-Label,NeuralNetFastAI,0.8021390374331551,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.8101604278074866,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.7914438502673797,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.7727272727272727,0.5,0.75,False,
16,Pseudo-Label,KNeighborsDist,0.7406417112299465,0.5,0.9,False,
17,Pseudo-Label,NeuralNetFastAI,0.7887700534759359,0.5,0.95,False,
18,Vanilla,CatBoost,0.7629233511586453,0.75,,,
19,Pseudo-Label,CatBoost,0.7736185383244206,0.75,0.5,True,
20,Pseudo-Label,WeightedEnsemble_L2,0.7664884135472371,0.75,0.75,True,
21,Pseudo-Label,LightGBMXT,0.7807486631016043,0.75,0.9,True,
22,Pseudo-Label,NeuralNetMXNet,0.7807486631016043,0.75,0.95,True,
23,Pseudo-Label,LightGBM,0.7522281639928698,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.7664884135472371,0.75,0.75,False,
25,Pseudo-Label,CatBoost,0.768270944741533,0.75,0.9,False,
26,Pseudo-Label,WeightedEnsemble_L2,0.7664884135472371,0.75,0.95,False,
27,Vanilla,NeuralNetMXNet,0.7313642756680732,0.95,,,
28,Pseudo-Label,NeuralNetFastAI,0.6933895921237694,0.95,0.5,True,
29,Pseudo-Label,LightGBMXT,0.7327707454289732,0.95,0.75,True,
30,Pseudo-Label,LightGBM,0.7623066104078763,0.95,0.9,True,
31,Pseudo-Label,LightGBMXT,0.7046413502109705,0.95,0.95,True,
32,Pseudo-Label,LightGBMXT,0.7341772151898734,0.95,0.5,False,
33,Pseudo-Label,LightGBMXT,0.7271448663853727,0.95,0.75,False,
34,Pseudo-Label,WeightedEnsemble_L2,0.7609001406469761,0.95,0.9,False,
35,Pseudo-Label,NeuralNetFastAI,0.7566807313642757,0.95,0.95,False,
