,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.9938136826783115,0.25,,,
1,Pseudo-Label,WeightedEnsemble_L2,0.9941775836972343,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.9956331877729258,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.9934497816593887,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.9967248908296943,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.995269286754003,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.9941775836972343,0.25,0.75,False,
7,Pseudo-Label,WeightedEnsemble_L2,0.9956331877729258,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.9963609898107715,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.992721979621543,0.5,,,
10,Pseudo-Label,NeuralNetFastAI,0.9934497816593887,0.5,0.5,True,
11,Pseudo-Label,NeuralNetFastAI,0.9925400291120815,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.9925400291120815,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.9921761280931587,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.9909024745269287,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.99235807860262,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.9941775836972343,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.9921761280931587,0.5,0.95,False,
18,Vanilla,NeuralNetFastAI,0.9910237748665697,0.75,,,
19,Pseudo-Label,WeightedEnsemble_L2,0.9913876758854925,0.75,0.5,True,
20,Pseudo-Label,NeuralNetFastAI,0.9928432799611839,0.75,0.75,True,
21,Pseudo-Label,NeuralNetFastAI,0.9922367782629792,0.75,0.9,True,
22,Pseudo-Label,WeightedEnsemble_L2,0.9905385735080058,0.75,0.95,True,
23,Pseudo-Label,NeuralNetFastAI,0.9928432799611839,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.9928432799611839,0.75,0.75,False,
25,Pseudo-Label,NeuralNetFastAI,0.9907811741872877,0.75,0.9,False,
26,Pseudo-Label,NeuralNetMXNet,0.990053372149442,0.75,0.95,False,
27,Vanilla,LightGBMXT,0.9372725531507374,0.95,,,
28,Pseudo-Label,NeuralNetFastAI,0.9647577092511013,0.95,0.5,True,
29,Pseudo-Label,NeuralNetMXNet,0.9624592989848688,0.95,0.75,True,
30,Pseudo-Label,NeuralNetFastAI,0.9720360084275043,0.95,0.9,True,
31,Pseudo-Label,WeightedEnsemble_L2,0.9638958054012641,0.95,0.95,True,
32,Pseudo-Label,NeuralNetFastAI,0.950392645087148,0.95,0.5,False,
33,Pseudo-Label,LightGBMXT,0.9472323309710783,0.95,0.75,False,
34,Pseudo-Label,LightGBMXT,0.9483815361041946,0.95,0.9,False,
35,Pseudo-Label,WeightedEnsemble_L2,0.9511587818425589,0.95,0.95,False,
