,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,NeuralNetFastAI,0.74,0.25,,,
1,Pseudo-Label,CatBoost,0.78,0.25,0.5,True,
2,Pseudo-Label,LightGBM,0.752,0.25,0.75,True,
3,Pseudo-Label,WeightedEnsemble_L2,0.764,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.756,0.25,0.95,True,
5,Pseudo-Label,WeightedEnsemble_L2,0.752,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.756,0.25,0.75,False,
7,Pseudo-Label,XGBoost,0.748,0.25,0.9,False,
8,Pseudo-Label,XGBoost,0.756,0.25,0.95,False,
9,Vanilla,WeightedEnsemble_L2,0.754,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.766,0.5,0.5,True,
11,Pseudo-Label,NeuralNetMXNet,0.73,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.76,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.752,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.766,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.766,0.5,0.75,False,
16,Pseudo-Label,NeuralNetFastAI,0.74,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.744,0.5,0.95,False,
18,Vanilla,WeightedEnsemble_L2,0.7626666666666667,0.75,,,
19,Pseudo-Label,ExtraTreesGini,0.752,0.75,0.5,True,
20,Pseudo-Label,RandomForestGini,0.7466666666666667,0.75,0.75,True,
21,Pseudo-Label,RandomForestGini,0.7493333333333333,0.75,0.9,True,
22,Pseudo-Label,RandomForestGini,0.7533333333333333,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.752,0.75,0.5,False,
24,Pseudo-Label,LightGBMXT,0.7453333333333333,0.75,0.75,False,
25,Pseudo-Label,RandomForestGini,0.7506666666666667,0.75,0.9,False,
26,Pseudo-Label,WeightedEnsemble_L2,0.7573333333333333,0.75,0.95,False,
27,Vanilla,CatBoost,0.6578947368421053,0.95,,,
28,Pseudo-Label,LightGBMXT,0.6589473684210526,0.95,0.5,True,
29,Pseudo-Label,LightGBM,0.6768421052631579,0.95,0.75,True,
30,Pseudo-Label,LightGBM,0.6768421052631579,0.95,0.9,True,
31,Pseudo-Label,LightGBM,0.6768421052631579,0.95,0.95,True,
32,Pseudo-Label,LightGBMXT,0.6884210526315789,0.95,0.5,False,
33,Pseudo-Label,LightGBM,0.6768421052631579,0.95,0.75,False,
34,Pseudo-Label,LightGBM,0.6768421052631579,0.95,0.9,False,
35,Pseudo-Label,LightGBM,0.6768421052631579,0.95,0.95,False,
