,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse
0,Vanilla,WeightedEnsemble_L2,0.8670288272548592,0.25,,
1,Pseudo-Label,WeightedEnsemble_L2,0.8665647521292859,0.25,0.5,True
2,Pseudo-Label,WeightedEnsemble_L2,0.8658822887093252,0.25,0.75,True
3,Pseudo-Label,XGBoost,0.8662644682245032,0.25,0.9,True
4,Pseudo-Label,WeightedEnsemble_L2,0.8666466477396811,0.25,0.95,True
5,Pseudo-Label,WeightedEnsemble_L2,0.8660460799301157,0.25,0.5,False
6,Pseudo-Label,WeightedEnsemble_L2,0.8661825726141079,0.25,0.75,False
7,Pseudo-Label,WeightedEnsemble_L2,0.8647903472373881,0.25,0.9,False
8,Pseudo-Label,WeightedEnsemble_L2,0.8672199170124482,0.25,0.95,False
9,Vanilla,WeightedEnsemble_L2,0.8710536014086238,0.5,,
10,Pseudo-Label,WeightedEnsemble_L2,0.8696613570287867,0.5,0.5,True
11,Pseudo-Label,WeightedEnsemble_L2,0.8700298923058024,0.5,0.75,True
12,Pseudo-Label,WeightedEnsemble_L2,0.8689652348388682,0.5,0.9,True
13,Pseudo-Label,WeightedEnsemble_L2,0.8671635068179027,0.5,0.95,True
14,Pseudo-Label,WeightedEnsemble_L2,0.8638876376888743,0.5,0.5,False
15,Pseudo-Label,WeightedEnsemble_L2,0.8680643708283854,0.5,0.75,False
16,Pseudo-Label,WeightedEnsemble_L2,0.8661807460791942,0.5,0.9,False
17,Pseudo-Label,WeightedEnsemble_L2,0.867613938823144,0.5,0.95,False
18,Vanilla,WeightedEnsemble_L2,0.8718263718263718,0.75,,
19,Pseudo-Label,WeightedEnsemble_L2,0.872072072072072,0.75,0.5,True
20,Pseudo-Label,WeightedEnsemble_L2,0.8710892710892711,0.75,0.75,True
21,Pseudo-Label,WeightedEnsemble_L2,0.8724815724815724,0.75,0.9,True
22,Pseudo-Label,WeightedEnsemble_L2,0.8735462735462736,0.75,0.95,True
23,Pseudo-Label,WeightedEnsemble_L2,0.872072072072072,0.75,0.5,False
24,Pseudo-Label,WeightedEnsemble_L2,0.8721539721539722,0.75,0.75,False
25,Pseudo-Label,WeightedEnsemble_L2,0.8728910728910729,0.75,0.9,False
26,Pseudo-Label,WeightedEnsemble_L2,0.8714168714168714,0.75,0.95,False
27,Vanilla,WeightedEnsemble_L2,0.8804258804258804,0.95,,
28,Pseudo-Label,CatBoost,0.8812448812448812,0.95,0.5,True
29,Pseudo-Label,CatBoost,0.8812448812448812,0.95,0.75,True
30,Pseudo-Label,WeightedEnsemble_L2,0.8861588861588862,0.95,0.9,True
31,Pseudo-Label,WeightedEnsemble_L2,0.8865683865683865,0.95,0.95,True
32,Pseudo-Label,WeightedEnsemble_L2,0.8857493857493858,0.95,0.5,False
33,Pseudo-Label,CatBoost,0.8812448812448812,0.95,0.75,False
34,Pseudo-Label,CatBoost,0.8812448812448812,0.95,0.9,False
35,Pseudo-Label,WeightedEnsemble_L2,0.8828828828828829,0.95,0.95,False
