,procedure,best_model,accuracy,eval_percentage,threshold,is_reuse,total_iter
0,Vanilla,WeightedEnsemble_L2,0.9997241379310344,0.25,,,
1,Pseudo-Label,ExtraTreesGini,0.9997241379310344,0.25,0.5,True,
2,Pseudo-Label,WeightedEnsemble_L2,0.9997241379310344,0.25,0.75,True,
3,Pseudo-Label,ExtraTreesGini,0.9997241379310344,0.25,0.9,True,
4,Pseudo-Label,WeightedEnsemble_L2,0.9997241379310344,0.25,0.95,True,
5,Pseudo-Label,ExtraTreesGini,0.9997241379310344,0.25,0.5,False,
6,Pseudo-Label,WeightedEnsemble_L2,0.9997241379310344,0.25,0.75,False,
7,Pseudo-Label,ExtraTreesGini,0.9997241379310344,0.25,0.9,False,
8,Pseudo-Label,WeightedEnsemble_L2,0.9997241379310344,0.25,0.95,False,
9,Vanilla,CatBoost,0.9994827586206897,0.5,,,
10,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.5,True,
11,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.75,True,
12,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.9,True,
13,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.95,True,
14,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.5,False,
15,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.75,False,
16,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.9,False,
17,Pseudo-Label,WeightedEnsemble_L2,0.9995862068965518,0.5,0.95,False,
18,Vanilla,CatBoost,0.9991264367816092,0.75,,,
19,Pseudo-Label,WeightedEnsemble_L2,0.999080459770115,0.75,0.5,True,
20,Pseudo-Label,WeightedEnsemble_L2,0.9989885057471264,0.75,0.75,True,
21,Pseudo-Label,WeightedEnsemble_L2,0.998919540229885,0.75,0.9,True,
22,Pseudo-Label,WeightedEnsemble_L2,0.9990344827586207,0.75,0.95,True,
23,Pseudo-Label,WeightedEnsemble_L2,0.9981379310344828,0.75,0.5,False,
24,Pseudo-Label,WeightedEnsemble_L2,0.9991494252873563,0.75,0.75,False,
25,Pseudo-Label,WeightedEnsemble_L2,0.9989425287356322,0.75,0.9,False,
26,Pseudo-Label,WeightedEnsemble_L2,0.999080459770115,0.75,0.95,False,
27,Vanilla,LightGBM,0.9969872958257713,0.95,,,
28,Pseudo-Label,NeuralNetFastAI,0.997059891107078,0.95,0.5,True,
29,Pseudo-Label,NeuralNetFastAI,0.996442831215971,0.95,0.75,True,
30,Pseudo-Label,NeuralNetFastAI,0.9967513611615245,0.95,0.9,True,
31,Pseudo-Label,XGBoost,0.9967332123411978,0.95,0.95,True,
32,Pseudo-Label,NeuralNetFastAI,0.996551724137931,0.95,0.5,False,
33,Pseudo-Label,NeuralNetFastAI,0.9957531760435572,0.95,0.75,False,
34,Pseudo-Label,XGBoost,0.9967332123411978,0.95,0.9,False,
35,Pseudo-Label,NeuralNetFastAI,0.997459165154265,0.95,0.95,False,
