id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/190411,ada,PseudoLabel,12h8c,7,binary,0.911466,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:31,18.5,16.2,0.2,14.0,1110689541,,,6.0,,,0.84058,0.911466,0.770518,0.318213
openml.org/t/190411,ada,PseudoLabel,12h8c,8,binary,0.926451,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:28,18.1,15.9,0.2,14.0,1110689542,,,5.0,,,0.855072,0.926451,0.789904,0.290068
openml.org/t/190411,ada,PseudoLabel,12h8c,9,binary,0.913493,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:13:44,18.1,15.6,0.2,14.0,1110689543,,,4.0,,,0.852657,0.913493,0.763669,0.318989
openml.org/t/359983,adult,PseudoLabel,12h8c,0,binary,0.932619,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:15:49,144.9,141.6,0.1,14.0,1110689534,,,4.0,,,0.876151,0.932619,0.79664,0.270697
openml.org/t/359983,adult,PseudoLabel,12h8c,1,binary,0.927538,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:08,146.7,143.0,0.2,14.0,1110689535,,,5.0,,,0.875947,0.927538,0.797678,0.275144
openml.org/t/359983,adult,PseudoLabel,12h8c,2,binary,0.931059,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:15:38,118.5,115.0,0.2,14.0,1110689536,,,5.0,,,0.875307,0.931059,0.796536,0.273206
openml.org/t/359983,adult,PseudoLabel,12h8c,3,binary,0.92713,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:15:39,129.8,126.5,0.2,14.0,1110689537,,,6.0,,,0.867527,0.92713,0.790542,0.279157
openml.org/t/359983,adult,PseudoLabel,12h8c,4,binary,0.927225,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:23,152.7,149.2,0.3,14.0,1110689538,,,7.0,,,0.872031,0.927225,0.791154,0.279109
openml.org/t/359983,adult,PseudoLabel,12h8c,5,binary,0.923854,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:55,159.4,155.8,0.2,14.0,1110689539,,,4.0,,,0.87326,0.923854,0.798559,0.282402
openml.org/t/359983,adult,PseudoLabel,12h8c,6,binary,0.930862,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:40,164.0,160.3,0.5,14.0,1110689540,,,6.0,,,0.872441,0.930862,0.794503,0.273387
openml.org/t/359983,adult,PseudoLabel,12h8c,7,binary,0.93235,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:10,122.8,119.3,0.2,14.0,1110689541,,,6.0,,,0.87674,0.93235,0.799968,0.271747
openml.org/t/359983,adult,PseudoLabel,12h8c,8,binary,0.93862,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:03,120.9,117.5,0.1,14.0,1110689542,,,5.0,,,0.880426,0.93862,0.805615,0.261699
openml.org/t/359983,adult,PseudoLabel,12h8c,9,binary,0.93258,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:16:16,132.8,129.3,0.1,14.0,1110689543,,,4.0,,,0.878788,0.93258,0.805711,0.270288
openml.org/t/189354,airlines,PseudoLabel,12h8c,0,binary,0.729901,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:41:27,1593.0,1575.8,5.5,14.0,1110689534,,,5.0,,,0.673631,0.729901,0.659648,0.600038
openml.org/t/189354,airlines,PseudoLabel,12h8c,1,binary,0.731179,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:45:00,1799.4,1780.9,6.7,14.0,1110689535,,,8.0,,,0.674354,0.731179,0.660574,0.598707
openml.org/t/189354,airlines,PseudoLabel,12h8c,2,binary,0.729229,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:46:20,1887.3,1869.8,5.9,14.0,1110689536,,,6.0,,,0.674799,0.729229,0.659293,0.600026
openml.org/t/189354,airlines,PseudoLabel,12h8c,3,binary,0.730222,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:52:28,2239.3,2215.9,11.4,14.0,1110689537,,,9.0,,,0.675961,0.730222,0.661499,0.599686
openml.org/t/189354,airlines,PseudoLabel,12h8c,4,binary,0.727197,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:43:05,1675.0,1654.3,8.3,14.0,1110689538,,,10.0,,,0.6742,0.727197,0.660009,0.601044
openml.org/t/189354,airlines,PseudoLabel,12h8c,5,binary,0.726206,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:53:19,2276.7,2254.7,9.6,14.0,1110689539,,,9.0,,,0.673681,0.726206,0.659676,0.602044
