id,task,framework,constraint,fold,type,result,metric,mode,version,params,app_version,utc,duration,training_duration,predict_duration,models_count,seed,info,mae,models_ensemble_count,r2,rmse,acc,auc,balacc,logloss
openml.org/t/190411,ada,AutoGluon,12h8c,7,binary,0.909281,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:57:52,20.5,18.2,0.1,14.0,1252495650,,,5.0,,,0.833333,0.909281,0.762448,0.318279
openml.org/t/190411,ada,AutoGluon,12h8c,8,binary,0.923204,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:58:04,20.3,17.8,0.3,14.0,1252495651,,,6.0,,,0.857488,0.923204,0.781772,0.298582
openml.org/t/190411,ada,AutoGluon,12h8c,9,binary,0.919023,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T23:57:51,19.7,17.4,0.2,14.0,1252495652,,,7.0,,,0.850242,0.919023,0.765366,0.303883
openml.org/t/359983,adult,AutoGluon,12h8c,0,binary,0.93158,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:00:58,179.6,176.1,0.2,14.0,1252495643,,,6.0,,,0.878608,0.93158,0.802065,0.272567
openml.org/t/359983,adult,AutoGluon,12h8c,1,binary,0.927379,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:01:51,221.5,217.8,0.3,14.0,1252495644,,,6.0,,,0.874514,0.927379,0.800547,0.275536
openml.org/t/359983,adult,AutoGluon,12h8c,2,binary,0.931728,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:00:56,168.8,165.2,0.2,14.0,1252495645,,,6.0,,,0.874079,0.931728,0.797783,0.271601
openml.org/t/359983,adult,AutoGluon,12h8c,3,binary,0.927426,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-08T22:34:25,183.9,180.5,0.2,14.0,1252495646,,,6.0,,,0.870598,0.927426,0.79579,0.278603
openml.org/t/359983,adult,AutoGluon,12h8c,4,binary,0.927832,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:01:41,207.8,204.4,0.1,14.0,1252495647,,,5.0,,,0.875102,0.927832,0.796989,0.278347
openml.org/t/359983,adult,AutoGluon,12h8c,5,binary,0.925192,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:02:43,190.2,186.8,0.2,14.0,1252495648,,,5.0,,,0.872031,0.925192,0.797458,0.279849
openml.org/t/359983,adult,AutoGluon,12h8c,6,binary,0.93154,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:01:31,185.6,182.1,0.2,14.0,1252495649,,,5.0,,,0.872441,0.93154,0.793624,0.271751
openml.org/t/359983,adult,AutoGluon,12h8c,7,binary,0.93342,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:01:08,165.1,161.8,0.1,14.0,1252495650,,,4.0,,,0.877355,0.93342,0.800958,0.269003
openml.org/t/359983,adult,AutoGluon,12h8c,8,binary,0.939357,auc,aws,0.3.1b20210908,,"dev [https://github.com/DolanTheMFWizard/automlbenchmark, master, b973c34]",2021-09-09T00:01:12,162.7,159.3,0.2,14.0,1252495651,,,6.0,,,0.883907,0.939357,0.812007,0.259559
