,model,openml_id,problem_type,accuracy,auc,neg_logloss,neg_MSE,MAE,result,model_score,best_val_score,threshold,metric,max_num_ter
62,Pseudo Label,12,multiclass,0.95,,-0.14987443900674408,,,-0.14987443900674408,-0.1498744360915589,-0.10456861222222413,0.98,log_loss,0
63,Vanilla,12,multiclass,0.95,,-0.1498744360915589,,,-0.1498744360915589,-0.1498744360915589,-0.10456861222222413,,log_loss,0
64,Jonas ECE Pseudo Label,31,binary,0.76,0.6572905397283327,,,,0.6572905397283327,0.7563409063589374,0.7723123376623376,0.95,roc_auc,0
65,ECE Pseudo Label,31,binary,0.76,0.6572905397283327,,,,0.6572905397283327,0.7563409063589374,0.7723123376623376,0.95,roc_auc,0
66,Pseudo Label,31,binary,0.76,0.6572905397283327,,,,0.6572905397283327,0.7563409063589374,0.7723123376623376,0.95,roc_auc,0
67,Vanilla,31,binary,0.76,0.6572905397283327,,,,0.6572905397283327,0.7563409063589374,0.7723123376623376,,roc_auc,0
68,Jonas ECE Pseudo Label,1067,binary,0.8909952606635071,0.6324365289882532,,,,0.6324365289882532,0.801818870784388,0.8066309324700095,0.95,roc_auc,0
69,ECE Pseudo Label,1067,binary,0.8909952606635071,0.6324365289882532,,,,0.6324365289882532,0.801818870784388,0.8066309324700095,0.95,roc_auc,0
70,Pseudo Label,1067,binary,0.8909952606635071,0.6324365289882532,,,,0.6324365289882532,0.801818870784388,0.8066309324700095,0.95,roc_auc,0
71,Vanilla,1067,binary,0.8909952606635071,0.6324365289882532,,,,0.6324365289882532,0.801818870784388,0.8066309324700095,,roc_auc,0
72,Jonas ECE Pseudo Label,54,multiclass,0.7455621301775148,,-0.5287291200600079,,,-0.5287291200600079,-0.5287291200600079,-0.5174859159998362,0.98,log_loss,0
73,ECE Pseudo Label,54,multiclass,0.7337278106508875,,-0.5458570170442204,,,-0.5458570170442204,-0.5456835585315685,-0.5066664551645046,0.98,log_loss,1
74,Pseudo Label,54,multiclass,0.7337278106508875,,-0.5373459259522032,,,-0.5373459259522032,-0.5371178279785142,-0.4994938040728941,0.98,log_loss,1
75,Vanilla,54,multiclass,0.7455621301775148,,-0.5287291200600079,,,-0.5287291200600079,-0.5287291200600079,-0.5174859159998362,,log_loss,0
